02461074,05580969,1
02461074,04201401,1
02461074,06391116,1
02461074,06450957,3
05580969,05550621,3
05580969,11940669,4
05580969,06930528,6
05580969,05580246,6
05550621,08190447,3
05550621,06930528,2
05550621,11940669,2
05550621,05580246,3
05580246,08190447,2
05580246,06930528,3
08190447,09960450,1
08190447,06930528,1
08190447,11940669,2
09960450,11940669,2
09960450,11550447,1
11550447,11460312,1
11550447,12870300,1
11550447,13920447,1
13920447,12870300,1
13920447,13800546,2
13920447,16470447,1
16470447,18540447,1
16470447,17190702,3
16470447,20070384,2
20070384,20610555,1
20610555,20610702,1
20610702,20550867,1
20550867,20160960,1
20160960,17610954,1
17610954,17190702,3
17610954,15420954,1
13710957,15420954,1
13710957,13800867,1
13710957,12090957,1
13800867,13770714,1
13770714,13800546,1
12090957,11970879,1
11970879,11940669,2
11940669,06870774,1
06450957,06450957,0
06391116,09301113,2
09301113,12631116,2
09301113,11041107,1
11041107,12631116,1
12631116,14071413,1
14071413,15151134,1
12631116,15151134,1
13710957,14071413,1
